StockCode,Description,TotalSales,TotalQuantity
22423,REGENCY CAKESTAND 3 TIER,286486.3,24914
85123A,WHITE HANGING HEART T-LIGHT HOLDER,252072.46,93640
23843,"PAPER CRAFT , LITTLE BIRDIE",168469.6,80995
85099B,JUMBO BAG RED RETROSPOT,136980.08,75759
84879,ASSORTED COLOUR BIRD ORNAMENT,127074.17,79913
47566,PARTY BUNTING,103880.23,23611
23166,MEDIUM CERAMIC TOP STORAGE JAR,81416.73,77916
22086,PAPER CHAIN KIT 50'S CHRISTMAS,79594.33,29477
79321,CHILLI LIGHTS,72860.14,15735
21137,BLACK RECORD COVER FRAME,67209.44,19629
85099F,JUMBO BAG STRAWBERRY,64601.65,36098
82484,WOOD BLACK BOARD ANT WHITE FINISH,60513.09,10893
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,57779.17,29498
21621,VINTAGE UNION JACK BUNTING,54815.12,6542
15056N,EDWARDIAN PARASOL NATURAL,54741.46,11027
85099C,JUMBO  BAG BAROQUE BLACK WHITE,53168.34,29447
22189,CREAM HEART CARD HOLDER,52627.29,18113
22470,HEART OF WICKER LARGE,52157.68,17866
21623,VINTAGE UNION JACK MEMOBOARD,51465.62,7158
23084,RABBIT NIGHT LIGHT,51346.2,27202
21733,RED HANGING HEART T-LIGHT HOLDER,50010.85,17643
21931,JUMBO STORAGE BAG SUKI,48255.8,26239
22112,CHOCOLATE HOT WATER BOTTLE,47555.84,10326
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,47240.02,17294
15056BL,EDWARDIAN PARASOL BLACK,46676.22,9488
22178,VICTORIAN GLASS HANGING T-LIGHT,46440.91,37851
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,45784.63,24690
21181,PLEASE ONE PERSON METAL SIGN,45035.1,22724
22469,HEART OF WICKER SMALL,45020.95,27182
22111,SCOTTIE DOG HOT WATER BOTTLE,44368.05,9487
21843,RED RETROSPOT CAKE STAND,44314.89,4437
22386,JUMBO BAG PINK POLKADOT,43967.14,23934
21929,JUMBO BAG PINK VINTAGE PAISLEY,43883.88,24431
21754,HOME BUILDING BLOCK WORD,43837.76,7468
22138,BAKING SET 9 PIECE RETROSPOT,43155.06,9052
21731,RED TOADSTOOL LED NIGHT LIGHT,42913.71,27867
21915,RED  HARMONICA IN BOX,41939.65,37097
71477,COLOUR GLASS. STAR T-LIGHT HOLDER,41555.54,14492
21175,GIN + TONIC DIET METAL SIGN,41373.38,19958
22457,NATURAL SLATE HEART CHALKBOARD,41203.92,14508
22326,ROUND SNACK BOXES SET OF4 WOODLAND,40883.57,14855
82494L,WOODEN FRAME ANTIQUE WHITE,40870.82,14707
48138,DOORMAT UNION FLAG,40720.3,6236
21232,STRAWBERRY CERAMIC TRINKET BOX,40675.38,34726
20727,LUNCH BAG  BLACK SKULL.,40586.2,25820
22502,PICNIC BASKET WICKER 60 PIECES,39619.5,61
22328,ROUND SNACK BOXES SET OF 4 FRUITS,37966.84,14024
82482,WOODEN PICTURE FRAME WHITE FINISH,37679.6,15919
21166,COOK WITH WINE METAL SIGN,37387.49,19833
20728,LUNCH BAG CARS BLUE,37071.43,23575
